English,Spanish,German,French,Russian,Chinese/Mandarin,Turkish,Portuguese,Italian,Dutch,Swedish,Polish,Chinese/Cantonese/Yue,Finnish,Norwegian,Indonesian,Greek,Hindi,Tagalog,Korean
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
25,8,1,2,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0
88,21,6,3,1,3,2,2,2,1,2,4,0,0,1,1,0,1,0,1
269,50,14,11,13,8,14,8,9,7,4,4,4,4,2,3,1,3,6,2
645,142,54,32,43,22,28,23,13,21,23,24,12,6,12,9,8,5,10,4
1386,318,105,59,75,58,70,68,38,33,31,35,27,18,8,15,15,15,23,7
2473,562,196,115,137,105,105,100,56,51,38,55,41,34,23,34,25,26,26,10
3560,847,274,186,183,148,177,124,108,95,80,74,69,42,31,34,26,65,59,25
4594,999,348,226,209,182,179,138,119,97,110,91,78,64,54,44,38,51,57,31
4889,1108,338,257,216,187,194,162,125,105,107,98,81,64,50,56,50,71,48,30
4532,985,324,242,209,166,182,147,97,122,104,106,70,46,45,43,51,63,49,22
3840,773,292,214,164,123,143,112,79,88,87,75,51,43,45,41,28,39,31,27
2999,631,241,176,125,88,92,79,73,77,68,54,45,32,23,26,27,27,29,19
2318,445,168,141,94,66,47,77,43,69,49,43,40,21,27,12,25,11,19,21
2028,386,156,109,66,69,46,49,44,53,36,37,29,23,23,21,24,9,13,18
1996,382,136,84,55,67,44,63,41,39,42,34,47,28,22,14,12,10,11,18
2339,405,172,114,60,99,25,62,46,54,39,40,55,39,34,26,20,8,5,30
3200,512,250,145,99,154,45,58,61,68,84,64,73,46,42,39,24,7,12,42
5437,831,380,255,158,286,46,116,123,94,118,71,150,69,67,59,55,9,19,98
