allNames,allDipsFromData,allPs
United States,0.0309862603287062,0
Canada,0.0253502966043539,0
United Kingdom,0.0320880649898939,0
Germany,0.0295438867712166,0
Australia,0.0374657393254962,0
Spain,0.0229082405666723,0
Argentina,0.0247906463537022,0
Mexico,0.0149434765698053,0.0095
France,0.0301672431917005,0
China,0.0392283010429079,0
Russia,0.0219588193740281,0.0001
Turkey,0.00698157955344286,0.9739
Chile,0.0332504303122255,0
Sweden,0.0343717629475048,0
Italy,0.0371455121155644,0
The Netherlands,0.0265748088793538,0
India,0.0126018599901399,0.3984
Brazil,0.0109594603291243,0.7533
Poland,0.0235069834106835,0.0037
Colombia,0.0209110977783115,0.0223
