outCounts1,outCounts2,outCounts3,outCounts4,outCounts5,outCounts6
0,0,0,0,0,0
1,0,1,0,0,0
0,0,0,0,3,0
5,3,6,5,4,3
13,24,13,11,15,10
60,58,45,45,37,16
135,159,100,127,108,66
308,282,235,190,231,140
567,552,449,381,436,232
788,782,633,594,634,371
952,1025,852,724,733,447
1046,1043,953,822,760,517
907,980,903,815,692,479
790,916,759,757,538,482
616,661,649,631,452,440
440,532,543,587,291,402
372,483,518,588,213,424
344,451,503,661,200,535
331,514,634,874,212,753
403,592,776,1274,272,1383
556,902,1246,2173,357,2900
